Entity,Date,Beta,Susceptible
Israel,18/12/2020,0.06350498744357899,0.96101778
Israel,20/12/2020,0.0628363805364651,0.960522595
Israel,22/12/2020,0.0641883865154491,0.959786644
Israel,24/12/2020,0.061846363845278654,0.958895862
Israel,26/12/2020,0.061494406689716334,0.958043497
Israel,28/12/2020,0.05671580193785653,0.957388295
Israel,30/12/2020,0.04732620014827315,0.956207853
Israel,01/01/2021,0.03997029214419939,0.954966134
Israel,03/01/2021,0.03521174266148545,0.953884221
Israel,05/01/2021,0.03706943910051196,0.9524392
Israel,07/01/2021,0.04006379560226216,0.950734363
Israel,09/01/2021,0.03822930709734315,0.949059901
Israel,11/01/2021,0.042637479137866155,0.9477774370000001
Israel,13/01/2021,0.04287250037942621,0.945764314
Israel,15/01/2021,0.0425565732417539,0.943778178
Israel,17/01/2021,0.043164491743571225,0.942348079
Israel,19/01/2021,0.045588822310113415,0.940678167
Israel,21/01/2021,0.04585096854874733,0.938879881
Israel,23/01/2021,0.038966339979865275,0.937328924
Israel,25/01/2021,0.03357924873497758,0.936547677
Israel,27/01/2021,0.03192264987570276,0.934797968
Israel,29/01/2021,0.0306221773236119,0.933216213
Israel,31/01/2021,0.02615850925389847,0.932221187
Israel,02/02/2021,0.024551754193464222,0.930721769
Israel,04/02/2021,0.03007347047433883,0.929082972
Israel,06/02/2021,0.03999269611856559,0.92761615
Israel,08/02/2021,0.042719693665208724,0.926847497
Israel,10/02/2021,0.04109394863648098,0.925363107
Israel,12/02/2021,0.03687706959472204,0.924224362
Israel,14/02/2021,0.034949900556653375,0.923529686
Israel,16/02/2021,0.036445282550897816,0.922610223
Israel,18/02/2021,0.03654812638203052,0.921683882
Israel,20/02/2021,0.03430645008991881,0.920929305
Israel,22/02/2021,0.03404166661467027,0.920467034
Israel,24/02/2021,0.034640605835221217,0.919487776
Israel,26/02/2021,0.03001550334786388,0.918620277
Israel,28/02/2021,0.018490571104481476,0.918063393
Israel,02/03/2021,0.010198549868679217,0.917229231
Israel,04/03/2021,0.014156325981375126,0.916268812
Israel,06/03/2021,0.021305757718713517,0.915490528
Israel,08/03/2021,0.020511173144336637,0.9150451900000001
Israel,10/03/2021,0.023100044141954365,0.914312308
Israel,12/03/2021,0.023035543818315057,0.913741242
Israel,14/03/2021,0.018099295329029444,0.913402476
Israel,16/03/2021,0.014904717735450062,0.913025082
Israel,18/03/2021,0.020992123567164844,0.912696264
Israel,20/03/2021,0.028675304300559517,0.9124477719999999
Israel,22/03/2021,0.03577833718401258,0.91233866
Israel,24/03/2021,0.02986994180955434,0.912160229
